start	end	text
0	5320	¿Eh? Esa galaxia está haciéndome señales binarias. Debo responder enseguida.
5660	10080	Pero solo sé preguntar dónde está el servicio. ¡Hablas mi idioma!
10980	13340	¿Qué eres? ¡Una especie de ordenador galáctico!
13420	16400	¡Dios mío! ¿Eres Dios?
17000	19860	¿Pero por qué iba a pensar Dios en binario?
20080	26680	A no ser que no seas Dios sino los restos de una sonda espacial informatizada que colisionó con Dios.
26880	29700	Oye, ¿sabes lo que voy a hacer antes de que lo haga?
30000	31420	¿Y si hago algo diferente?
31900	35540	¡Cómo mola! Seguro que te reza mucha gente, ¿no?
35900	37640	Entiendo. ¿Yo fui Dios una vez?
37900	41560	Fue horrible. Probé ayudándoles, probé no ayudándoles.
41820	46420	Pero al final no logré hacerles ningún bien. ¿Crees que estuvo mal lo que hice?
46740	50000	Sí, ya lo sé. Por eso te he preguntado si lo que hice...
50000	50800	Bájalo.
51760	54260	O como el que prende fuego a su bar para cobrar el seguro.
54700	57900	¿Significa eso que no me enviarías a la tierra ni aunque te rezara?
57900	60320	No lo sé.
61380	62800	¿Qué? ¿Qué? ¿Has dicho algo?
62960	67940	Chicos, no vais a creer lo que me ha pasado. Primero fui un Dios y después conocí a uno.
68040	71920	No puedo mucho. No podemos contar con Dios para nada. Él mismo me lo dijo.
72120	75860	Venga, vamos. Si no salvamos a esos monjes, nadie lo va a hacer.
75860	89420	Vamos a hacer.
89420	91540	Venga, vamos a hacer.
