Item,Desc,Qtty needed,Qtty / Pack,Pack Qtty,Price / pack,Source,Extra,Category,Already owned,In Cart,Purchased,Item Total,Final Total,Final Total ($)
Round Display,Eyes,2,2,1,6.55€,https://es.aliexpress.com/item/1005006928550245.html?spm=a2g0o.detail.0.0.3380vPbLvPbLqx&mp=1&pdp_npi=6%40dis%21EUR%21EUR+6.99%21EUR+6.99%21%21EUR+6.85%21%21%21%400b88a95617788756053276236e0e02%2112000045970082989%21ct%21NL%213560368449%21%211%210%21&gatewayAdapt=nld2esp,,Eyes,FALSE,TRUE,FALSE,6.55€,269.90€,$309.64
Display Lens,Make Eyes Bigger,2,1,2,19.69€,https://es.aliexpress.com/item/1005008724449296.html?spm=a2g0o.detail.0.0.6a0760d1eKUq5E&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2020.73%21EUR%2019.69%21%21EUR%2019.69%21%21%21%4021038a8017819666708386757e11aa%2112000046404933342%21ct%21ES%213560368449%21%211%210%21&gatewayAdapt=glo2esp,,Eyes,FALSE,FALSE,FALSE,39.38€,,
Flexible LED Matrix,Mouth,1,2,1,39.56€,https://es.aliexpress.com/item/1005006068032826.html?spm=a2g0o.productlist.main.21.139eA4CxA4Cx4e&algo_pvid=5b077f7f-89aa-40ed-b4d1-d402daa6e2e7&pdp_ext_f=%7B%22order%22%3A%225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006068032826%7C_p_origin_prod%3A&gatewayAdapt=nld2esp,,Mouth,FALSE,FALSE,FALSE,39.56€,,
Microphone module,Fallback PCB,1,1,1,6.30€,https://es.aliexpress.com/item/1005009698505728.html?spm=a2g0o.cart.0.0.6c4d38daLbAysv&mp=1&pdp_npi=6%40dis%21EUR%21EUR+14.93%21EUR+6.24%21%21EUR+6.24%21%21%21%400b8848e317816378509391522e0e93%2112000049889234983%21ct%21ES%213560368449%21%211%210%21&gatewayAdapt=glo2esp,,Brain,FALSE,FALSE,FALSE,6.30€,,
Ethernet module,Fallback PCB,1,1,1,4.35€,https://es.aliexpress.com/item/1005009204216561.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.3.6e6eUfXQUfXQ5C&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=3570e6de-c66e-4314-adfb-729cb482450e&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A3570e6de-c66e-4314-adfb-729cb482450e%2Ctpp_buckets%3A668%232846%238114%231999&pdp_ext_f=%7B%22order%22%3A%22295%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%214.69%214.69%21%21%215.33%215.33%21%402103973d17801598614361290e0f38%2112000048290449884%21rec%21NL%213560368449%21X%211%210%21n_tag%3A-29919%3Bd%3Adc2a0b43%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009204216561%7C_p_origin_prod%3A&gatewayAdapt=nld2esp#nav-specification,,Brain,FALSE,FALSE,FALSE,4.35€,,
18650 cells,,14,1,14,0.00€,Already owned,,Brain,TRUE,FALSE,FALSE,0,,
cable,,1,1,1,0.00€,Already owned,,Brain,FALSE,FALSE,FALSE,0.00€,,
mmWave sensor,,1,1,1,4.79€,https://es.aliexpress.com/item/1005006121923099.html?spm=a2g0o.detail.0.0.791e7F4F7F4Fcg&mp=1&pdp_npi=6%40dis%21EUR%21EUR%204.92%21EUR%204.89%21%21EUR%204.89%21%21%21%402103842a17788752854925679e1108%2112000035851121206%21ct%21NL%213560368449%21%211%210%21&gatewayAdapt=nld2esp,,Brain,TRUE,FALSE,FALSE,0,,
Stepper Motor,Nema17 17HS4023 42BGYH,1,1,1,5.19€,https://es.aliexpress.com/item/1005003874936862.html?spm=a2g0o.productlist.main.2.45ac6b6d4Ty51H&algo_pvid=24c1815d-4fc5-48d3-8530-a3506b98d7ee&pdp_ext_f=%7B%22order%22%3A%227968%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003874936862%7C_p_origin_prod%3A,,Brain,FALSE,FALSE,FALSE,5.19€,,
Antenna,For esp32,1,1,1,1.84€,https://es.aliexpress.com/item/1005007468291772.html,,Brain,FALSE,FALSE,FALSE,1.84€,,
