start	end	text
0	3720	Ya está. Nos hemos pegado también a él como las moscas a la mierda.
4060	5080	Descansad, muchachos.
5240	8340	Señor Fry, le pondré un apodo como segundo oficial a bordo.
8560	10720	Y a partir de ahora lo llamaré...
10720	11640	Meneillos.
11980	12620	¿Y a la bordo?
13240	14260	Correcto, Meneillos.
14640	17380	Acaba de ganar una invitación a comer en la mesa del capitán.
17480	20580	Pero supongo que esta medalla es la que más me enorgullece, Meneillos.
20900	23680	Me la concedieron por salvar a los niños de la tierra de un canguro.
23680	25320	Salió en las noticias australienas.
25520	26920	Usted seguramente no lo vio.
26920	31420	No sé por qué, pero cuando miro sus caritas me entran ganas de vomitar.
