Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, EN1",SW_SPST_TS-1088-xR025,2,SW_Push,C720477
"BT1, BT2",PinHeader_1x02_P2.54mm_Vertical,2,Battery_Cell,
"C1, C15, C2, C29, C47, C51, C56, C92",0603,8,0.1uF,C14663
"C10, C11, C12, C13, C4, C60, C61, C63, C7, C81, C84, C88, C89, C93, C95",0603,15,10uF,C194427
"C14, C16, C90",0603,3,1uF,C15849
"C17, C18, C19, C20, C21, C22, C23, C26, C27, C33, C34, C35, C37, C38, C39, C41, C52, C53, C54, C55",0603,20,10uF,C194427
C24,0603,1,1nF,C1588
"C25, C28, C36, C40, C59, C62, C64, C65, C66, C67, C68, C69, C8, C96",0402,14,0.1uF,C77020
"C3, C44, C75, C76",0603,4,10nF,C57112
"C30, C31",0603,2,47nF,C1622
"C32, C77",0603,2,4.7uF,C19666
"C42, C94",0805,2,22uF,C162295
"C43, C48, C49, C50, C57, C58",0805,6,22uF,C162295
C45,0603,1,2.7nF,C1609
C46,0603,1,33pF,C1663
"C5, C6",0603,2,220pF,
"C70, C71",0603,2,15pF,C1644
"C72, C79",0603,2,22nF,C21122
"C73, C74",0603,2,6.8nF,
C78,1206,1,1nF/2kV,C23631
"C80, C83, C85, C87",0603,4,0.22uF,
"C82, C9",0402,2,0.1uF,C77020
"C86, C91",CAP-SMD_BD6.3-L6.6-W6.6-FD,2,22uF,C72505
"D1, D10, D11, D2, D3, D4, D6, D7, D8, D9",0603,10,RED_LED,C19171390
D5,SMB_L4.6-W3.6-LS5.3-RD,1,SMBJ15A,C83846
F1,1812,1,16V 2.6A,C438899
"FB1, FB2",0603,2,FerriteBead,C88989
FB3,0603,1,CBW160808U601T,C139183
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,C474881
J10,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12,
"J11, J2, J4, J5, J6",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,5,Conn_01x04,C144395
J12,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,BAT,
J13,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
J14,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,RJ45_Hanrun_HR911105A_Horizontal,1,RJ45_Hanrun_HR911105A_Horizontal,C12074
"J7, J8",PinSocket_1x06_P2.54mm_Vertical,2,Conn_01x06,
J9,CONN-TH_4P-P2.54_MX128-2.54-GN01-04P-CU-Y-A,1,Motor,C5188444
L1,IND-SMD_L7.1-W6.5-P5.60,1,1.0 uH,C87572
L2,IND-SMD_L11.5-W10.0_SMMS1040,1,3.3uH,C149592
"L3, L4",IND-SMD_L5.0-W5.0,2,4.7uH,C354606
LS1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Speaker,
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,
"Q1, Q2",VSON-8_3.3x3.3mm_P0.65mm_NexFET,2,CSD17577Q3A,
"R1, R30, R39",0603,3,1M,C22935
"R10, R11, R40, R41, R6, R7, R8, R9",0603,8,1k,C21190
"R12, R13",0603,2,4.7k,C23162
"R14, R15",0603,2,330R,C23138
R16,0603,1,100R,C22775
R17,0603,1,6.04k,C25977
"R18, R23, R25, R28, R29, R4, R52, R53, R54, R55, R56, R57",0603,12,10k,C25804
R19,0603,1,30.9k,
"R2, R3",0603,2,5.11k,C23067
R20,0603,1,68.1k,
R21,0603,1,30.31k,
R22,0603,1,5.24k,
R24,0603,1,2.2k,C4190
R26,0603,1,15.8k,
R27,0603,1,52.3k,C23198
"R31, R32, R34, R35",0603,4,49.9R,C23185
R33,0603,1,10R,C22859
"R36, R37",0603,2,300R,
R38,0603,1,12.4k,C22865
"R42, R43",0603,2,6.8k,C23212
"R44, R45",1206,2,0.05R,
"R46, R47, R48, R49, R50",0603,5,20k,C4184
R5,0603,1,47k,C25819
R51,0603,1,33k,C4216
"R58, R59",0603,2,100k,C25803
"R60, R61",0402,2,22R,
RV1,RES-ADJ-SMD_3P-L3.8-W3.7_VGF39NCHXT,1,10k,C22461454
TH1,PinHeader_1x02_P2.54mm_Vertical,1,10k,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.5mm,7,TestPoint,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,C2913199
U10,WSON-8_L2.0-W2.0-P0.50-BL-EP0.9,1,MAX17049G+T10,C18185545
U11,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,AP64501SP-13,C2071517
U12,TSOT-23-6,1,AP63205WU,
U14,TSOT-23-6,1,AP63203WU,C780769
U2,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,1,TMC2209-LA,
U3,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
U5,SOT-323_SC-70,1,TPD2E2U06DCK,
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,R5460N214AF-TR-FE,C259719
U8,SOT-23-6,1,CH221K,
U9,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,1,BQ25792,C2862876
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C13740
