Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,100.4,-107.9,270.0,top
BT1,60.54,-52.835,270.0,top
BT2,54.04,-52.835,270.0,top
C1,58.27,-64.61,180.0,top
C10,96.0,-57.4,0.0,top
C11,136.575,-57.4,0.0,top
C12,123.175,-57.4,0.0,top
C13,138.5,-103.33,270.0,top
C14,107.4,-139.72,0.0,top
C15,67.13,-66.85,0.0,top
C16,81.475,-135.7,0.0,top
C17,86.125,-72.16,90.0,top
C18,87.625,-72.16,90.0,top
C19,89.125,-72.16,90.0,top
C2,57.47,-63.01,180.0,top
C20,90.625,-72.16,90.0,top
C21,92.125,-72.16,90.0,top
C22,84.3,-72.585,90.0,top
C23,82.8,-71.385,90.0,top
C24,85.05,-74.935,0.0,top
C25,83.9,-67.205,270.0,top
C26,73.65,-63.835,90.0,top
C27,75.15,-63.835,90.0,top
C28,77.85,-64.135,90.0,top
C29,76.65,-63.835,90.0,top
C3,55.57,-72.51,90.0,top
C30,82.1,-69.185,180.0,bottom
C31,82.1,-63.285,0.0,bottom
C32,79.1,-64.335,180.0,bottom
C33,88.9,-60.685,270.0,top
C34,87.4,-60.685,270.0,top
C35,85.9,-60.685,270.0,top
C36,83.9,-65.305,90.0,top
C37,107.8,-125.52,270.0,top
C38,106.2,-125.52,270.0,top
C39,104.6,-125.52,270.0,top
C4,109.575,-57.4,0.0,top
C40,103.4,-125.52,270.0,top
C41,126.1,-127.9,270.0,top
C42,132.95,-115.6,0.0,top
C43,132.95,-117.7,0.0,top
C44,130.2,-133.3,180.0,top
C45,137.975,-131.7,0.0,top
C46,138.0,-128.5,0.0,top
C47,130.225,-125.7,180.0,top
C48,132.95,-119.8,0.0,top
C49,138.725,-90.8,0.0,top
C5,118.35,-85.8,0.0,top
C50,138.725,-88.7,0.0,top
C51,134.725,-81.7,0.0,top
C52,133.325,-87.2,180.0,top
C53,127.6,-127.9,270.0,top
C54,124.5725,-127.8975,270.0,top
C55,133.4,-67.5,180.0,top
C56,134.9,-61.7,0.0,top
C57,138.9,-68.7,0.0,top
C58,138.9,-70.8,0.0,top
C59,114.1,-78.075,90.0,top
C6,115.35,-85.8,180.0,top
C60,112.6,-78.075,90.0,top
C61,66.7,-106.7,0.0,bottom
C62,65.48,-108.1,0.0,bottom
C63,73.5,-111.2,180.0,top
C64,62.92,-114.0,0.0,bottom
C65,65.22,-110.6,180.0,bottom
C66,65.1,-116.8,0.0,bottom
C67,65.7,-112.02,270.0,bottom
C68,65.7,-113.9,270.0,bottom
C69,62.0,-118.1,0.0,top
C7,109.4,-125.52,270.0,top
C70,61.05,-103.85,270.0,top
C71,66.45,-103.75,90.0,top
C72,63.2,-120.9,0.0,top
C73,64.5,-120.9,0.0,bottom
C74,66.25,-120.9,0.0,top
C75,74.75,-128.725,270.0,top
C76,69.7,-109.875,270.0,top
C77,72.975,-114.75,135.0,top
C78,65.2,-134.4,90.0,bottom
C79,88.74,-87.99,180.0,top
C8,81.5,-134.35,0.0,top
C80,88.8,-81.76,180.0,top
C81,57.6,-146.6,90.0,bottom
C82,52.2,-146.9,90.0,top
C83,86.14,-87.59,270.0,top
C84,84.14,-91.39,90.0,top
C85,88.8,-80.3,180.0,top
C86,94.94,-82.59,0.0,top
C87,85.94,-95.99,135.0,top
C88,86.34,-98.99,0.0,top
C89,81.475,-137.2,0.0,top
C9,86.52,-145.4,180.0,top
C90,86.6,-142.875,90.0,top
C91,133.4,-103.43,90.0,top
C92,51.725,-137.9,0.0,top
C93,70.4,-57.5,0.0,top
C94,122.7725,-127.6975,270.0,top
C95,58.924,-91.015,90.0,top
C96,60.424,-91.265,90.0,top
D1,101.5,-118.1,180.0,top
D10,92.14,-97.99,90.0,top
D11,95.34,-100.965,90.0,top
D2,140.2125,-79.2,0.0,top
D3,140.175,-59.2,0.0,top
D4,81.2,-59.685,270.0,top
D5,105.75,-129.37,0.0,top
D6,139.1875,-111.4,0.0,top
D7,111.5,-135.3325,90.0,top
D8,95.9,-72.1975,90.0,top
D9,93.74,-97.99,270.0,top
EN1,83.8,-142.9,90.0,top
F1,103.5,-135.12,270.0,top
FB1,116.1,-83.3,270.0,top
FB2,117.6,-83.3,270.0,top
FB3,57.75,-116.5,0.0,top
J1,144.2675,-103.43,90.0,top
J10,68.53,-89.07,0.0,top
J11,70.5,-53.775,180.0,top
J12,57.27,-57.81,0.0,top
J13,53.475,-94.0,90.0,top
J14,85.23,-110.0,90.0,top
J2,96.15,-53.8,180.0,top
J3,65.15,-134.0,0.0,top
J4,109.65,-53.8,180.0,top
J5,123.15,-53.8,180.0,top
J6,136.55,-53.8,180.0,top
J7,75.319999,-141.6,180.0,top
J8,54.999999,-141.6,180.0,top
J9,102.49,-92.19,90.0,top
JP1,109.6,-78.8,0.0,top
JP2,101.5,-79.7,0.0,top
JP3,81.44,-85.29,0.0,top
JP4,82.6,-53.6,90.0,top
L1,89.7,-66.285,270.0,top
L2,140.5,-120.82,90.0,top
L3,138.925,-85.0,180.0,top
L4,139.0,-65.0,180.0,top
LS1,116.175,-93.325,0.0,top
MK1,61.864,-94.0,90.0,top
Q1,56.07,-76.625,180.0,top
Q2,60.18,-76.6,180.0,top
R1,94.25,-145.12,90.0,top
R10,134.0125,-79.2,0.0,top
R11,137.075,-59.2,0.0,top
R12,94.7,-136.7,270.0,top
R13,100.3,-129.35,270.0,top
R14,58.17,-67.81,0.0,top
R15,58.97,-66.21,180.0,top
R16,80.0,-70.91,270.0,top
R17,80.5,-73.185,180.0,top
R18,71.125,-70.56,0.0,top
R19,78.2,-70.285,270.0,top
R2,102.0,-140.87,270.0,top
R20,78.2,-73.26,270.0,top
R21,74.1,-67.935,180.0,top
R22,76.4,-67.135,270.0,top
R24,82.75,-59.685,90.0,top
R25,81.25,-75.485,90.0,top
R26,138.0,-130.1,0.0,top
R27,136.875,-133.3,180.0,top
R28,133.775,-133.3,180.0,top
R29,65.13,-69.85,90.0,top
R3,98.0,-140.87,270.0,top
R30,116.6,-74.3,90.0,top
R31,58.45,-122.6,0.0,top
R32,58.5,-120.0,0.0,top
R33,63.2,-122.4,0.0,top
R34,66.25,-122.45,180.0,top
R35,64.5,-122.4,180.0,bottom
R36,70.95,-124.24,0.0,top
R37,58.45,-124.14,180.0,top
R38,65.3,-118.6,180.0,top
R39,63.8,-100.7,180.0,top
R4,83.0,-139.075,0.0,top
R40,135.99,-111.39,0.0,top
R41,132.9,-111.4,0.0,top
R42,111.5,-138.5075,90.0,top
R43,95.9,-75.2975,90.0,top
R44,94.9775,-94.39,0.0,top
R45,94.9775,-90.09,0.0,top
R46,89.54,-84.99,180.0,top
R47,96.94,-97.965,90.0,top
R48,93.74,-100.99,90.0,top
R49,92.14,-101.19,270.0,top
R5,111.25,-142.795,90.0,top
R50,95.34,-97.965,90.0,top
R51,82.54,-91.39,270.0,top
R52,101.27,-111.76,180.0,top
R53,100.2,-126.1,270.0,top
R54,100.4,-122.7,90.0,top
R55,57.35,-108.85,270.0,top
R56,79.115,-91.99,180.0,top
R57,79.115,-90.48,180.0,top
R58,129.425,-84.6,180.0,top
R59,125.8,-130.2,180.0,top
R6,107.25,-132.87,0.0,top
R60,96.1,-134.45,90.0,top
R61,97.1,-134.45,90.0,top
R7,60.57,-72.51,270.0,top
R8,101.5,-116.35,0.0,top
R9,137.1125,-79.2,0.0,top
RV1,82.47,-97.29,180.0,top
TH1,72.955,-73.385,270.0,top
TP1,79.05,-59.435,270.0,top
TP2,92.025,-60.085,270.0,top
TP3,80.95,-56.885,270.0,top
TP4,95.725,-69.085,270.0,top
TP5,71.25,-65.75,270.0,top
TP6,79.725,-79.76,270.0,top
TP7,77.75,-76.035,270.0,top
U1,89.16,-123.75,90.0,top
U10,67.12,-69.85,180.0,top
U11,132.5,-129.3,270.0,top
U12,133.2875,-84.55,180.0,top
U14,133.4,-64.6,180.0,top
U2,88.94,-92.19,270.0,top
U3,63.75,-112.45,0.0,top
U4,117.35,-78.3625,270.0,top
U5,100.0,-140.7575,90.0,top
U7,58.07,-70.51,180.0,top
U8,107.2,-142.7575,90.0,top
U9,80.8,-66.2225,270.0,top
USB1,100.0,-146.12,0.0,top
Y1,63.75,-103.75,90.0,top
