Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RUN1",SW_SPST_TS-1088-xR025,2,SW_Push,C720477
"C1, C10, C11, C12, C13, C14, C15, C8, C9",0603,9,0.1uF,C14663
"C16, C17, C18",0603,3,1uF,C15849
"C2, C3",0603,2,33pF,C1663
"C4, C5, C6, C7",0805,4,10uF,C15850
"D1, D2, D3",0603,3,RED_LED,C19171390
J1,LH128R,1,LH128,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,C144395
J3,PinHeader_2x04_P2.54mm_Vertical,1,Conn_01x08,C5383105
J4,PinHeader_2x04_P2.54mm_Vertical,1,Conn_01x08,C5383105
Q1,SOT-23,1,AO3400A,C20917
"R1, R7",0603,2,100R,C22775
"R10, R11, R3, R8, R9",0603,5,1k,C21190
"R2, R4",0603,2,10k,C25804
R5,0603,1,100k,C25803
R6,0603,1,22R,C23345
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,C82344
U3,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
