Designator,Mid X,Mid Y,Rotation,Layer
C1,105.8575,-75.8625,270.0,bottom
C10,88.7625,-73.95,180.0,bottom
C11,94.2625,-68.95,270.0,bottom
C12,98.75,-80.5,90.0,bottom
C13,94.0,-80.95,90.0,bottom
C14,88.7625,-72.45,180.0,bottom
C15,101.0,-74.5,0.0,bottom
C16,98.2625,-68.95,270.0,bottom
C17,101.225,-88.5,180.0,bottom
C18,101.0,-71.5,0.0,bottom
C2,85.2625,-73.95,180.0,bottom
C3,85.2625,-79.95,0.0,bottom
C4,116.05,-96.0,180.0,bottom
C5,114.3625,-86.45,0.0,bottom
C6,117.8625,-89.45,90.0,bottom
C7,101.335,-86.5,180.0,bottom
C8,101.0,-70.0,0.0,bottom
C9,101.0,-73.0,0.0,bottom
D1,96.7625,-83.45,90.0,bottom
G10,91.0,-82.0,180.0,bottom
G11,85.5,-92.0,180.0,bottom
G12,85.5,-89.5,180.0,bottom
G13,85.5,-87.0,180.0,bottom
G14,85.5,-84.5,180.0,bottom
G15,85.5,-82.0,180.0,bottom
G6,91.0,-92.0,180.0,bottom
G7,91.0,-89.5,180.0,bottom
G8,91.0,-87.0,180.0,bottom
G9,91.0,-84.5,180.0,bottom
J1,99.6698,-92.0135,0.0,top
J2,113.0,-99.975,0.0,bottom
J3,86.23,-100.23,90.0,bottom
J4,99.52,-100.505,90.0,bottom
JP1,87.5,-95.0,270.0,bottom
Q1,99.75,-95.5,0.0,bottom
R1,94.5,-90.825,270.0,bottom
R2,114.0,-71.8625,0.0,bottom
R3,114.3575,-80.3625,180.0,bottom
R4,90.0,-68.75,90.0,bottom
R5,97.0,-94.5,270.0,bottom
R6,102.25,-93.5,180.0,bottom
R7,90.0,-95.0,90.0,bottom
R8,95.7625,-86.45,180.0,bottom
SW1,115.0,-76.0,90.0,bottom
SW2,97.0,-65.0,0.0,bottom
U1,95.0625,-74.9,180.0,bottom
U2,109.8575,-75.8625,0.0,bottom
U3,114.3625,-89.45,180.0,bottom
Y1,85.2625,-76.95,270.0,bottom
