Old LCSC,Value,Footprint,Qty,New LCSC,Candidate Status,Title,URL
C25803,100k,0603,3,C2889376,in_stock,0603 ±1% 100K | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889376.html
C25803,100k,0603,3,C2874746,in_stock,0603F-100K-DLRH | PSA | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2874746.html
C25803,100k,0603,3,C963797,in_stock,EBLS1608-100K | HYHONGYEX | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C963797.html
C25803,100k,0603,3,C127280,in_stock,FCI1608F-100K | TAI-TECH | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C127280.html
C25803,100k,0603,3,C216797,in_stock,CR-03FL7--100K | Viking | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C216797.html
C22859,10R,0603,1,C2889392,in_stock,0603 ±5% 10K | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889392.html
C22859,10R,0603,1,C5123582,in_stock,HoAR0603-1/10W-10R-0.1%-TCR25 | Milliohm | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C5123582.html
C22859,10R,0603,1,C2286,in_stock,KT-0603R | Hubei KENTO Elec | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2286.html
C25804,10k,0603,17,C2889392,in_stock,0603 ±5% 10K | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889392.html
C57112,10nF,0603,4,C309036,in_stock,TCC0603X7R103K500CT | CCTC | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C309036.html
C57112,10nF,0603,4,C115056,in_stock,CC0603JRX7R9BB103 | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C115056.html
C22935,1M,0603,3,C2889381,in_stock,0603 ±1% 0Ω | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889381.html
C22935,1M,0603,3,C84266,in_stock,NCD0603B1 | NATIONSTAR | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C84266.html
C22935,1M,0603,3,C2286,in_stock,KT-0603R | Hubei KENTO Elec | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2286.html
C22935,1M,0603,3,C2889392,in_stock,0603 ±5% 10K | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889392.html
C22935,1M,0603,3,C114065,in_stock,RC0603FR-0722KL | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C114065.html
C22935,1M,0603,3,C141723,in_stock,FCM1608KF-601T03 | TAI-TECH | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C141723.html
C21190,1k,0603,18,C2889367,in_stock,0603 ±1% 1K | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889367.html
C21190,1k,0603,18,C2904518,in_stock,HoLTT0603-1/10W-9.1K-1% | Milliohm | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2904518.html
C15849,1uF,0603,10,C106219,in_stock,CC0603ZRY5V7BB105 | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C106219.html
C15849,1uF,0603,10,C52923,in_stock,CL05A105KA5NQNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C52923.html
C4216,33k,0603,1,C881242,in_stock,CR0603F33K0P05Z | EVER OHMS | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C881242.html
C23162,4.7k,0603,2,C2904521,in_stock,HoLTT0603-1/10W-4.7K-1% | Milliohm | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2904521.html
C23162,4.7k,0603,2,C2889370,in_stock,0603 ±1% 4K7 | VO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2889370.html
C25819,47k,0603,1,C5362361,in_stock,RMC 0603 47K J N | TyoHM | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C5362361.html
C25819,47k,0603,1,C2904523,in_stock,HoLTT0603-1/10W-47K-1% | Milliohm | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2904523.html
