Value,Footprint,LCSC Part #,Total Quantity,Minimum Order Quantity,Order Multiple,Suggested Order Quantity,Extra Quantity vs BOM,Below MOQ,Brain Designators,Mouth Designators,Eye Designators
0.05R,1206,C46961736,2,10,10,10,8,Yes,"R44, R45",,
KF301-5.0-2P / Screw_Terminal_01x02,"CONN-TH_P5.00_KF301-5.0-2P / TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",C474881,3,5,5,5,2,Yes,J1,"U6, J1",
0.1uF,0402,C77020,16,50,50,50,34,Yes,"C25, C28, C36, C40, C59, C62, C64, C65, C66, C67, C68, C69, C8, C96, C82, C9",,
0.1uF,0603,C696916,37,50,50,50,13,Yes,"C1, C15, C2, C29, C47, C51, C56, C92","C1, C10, C11, C12, C13, C14, C15, C19, C20, C8, C9","C1, C10, C11, C12, C13, C14, C15, C8, C9"
0.22uF,0603,C97857,4,20,20,20,16,Yes,"C80, C83, C85, C87",,
1.0 uH,IND-SMD_L7.1-W6.5-P5.60,C87572,1,5,5,5,4,Yes,L1,,
100R,0603,C5123610,6,10,10,10,4,Yes,R16,R7,"R1, R7"
100k,0603,C2906980,4,100,100,100,96,Yes,"R58, R59",,R5
10R,0603,C5123582,1,10,10,10,9,Yes,R33,,
10k,0603,C2930027,19,100,100,100,81,Yes,"R18, R23, R25, R28, R29, R4, R52, R53, R54, R55, R56, R57","R2, R4, R5","R2, R4"
10k,PinHeader_1x02_P2.54mm_Vertical,C52204606,1,10,10,10,9,Yes,TH1,,
10k,RES-ADJ-SMD_3P-L3.8-W3.7_VGF39NCHXT,C22461454,1,5,5,5,4,Yes,RV1,,
10nF,0603,C309036,4,100,100,100,96,Yes,"C3, C44, C75, C76",,
10uF,0603,C194427,35,10,10,40,5,No,"C10, C11, C12, C13, C4, C60, C61, C63, C7, C81, C84, C88, C89, C93, C95, C17, C18, C19, C20, C21, C22, C23, C26, C27, C33, C34, C35, C37, C38, C39, C41, C52, C53, C54, C55",,
10uF,0805,C5448891,13,20,20,20,7,Yes,,"C22, C4, C5, C6, C7","C4, C5, C6, C7"
12.4k,0603,C2482548,1,100,100,100,99,Yes,R38,,
12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,3,5,5,5,2,Yes,,Y1,Y1
15.8k,0603,C54973935,1,20,20,20,19,Yes,R26,,
15pF,0603,C1644,2,100,100,100,98,Yes,"C70, C71",,
16V 2.6A,1812,C438899,1,5,5,5,4,Yes,F1,,
1M,0603,C163869,3,100,100,100,97,Yes,"R1, R30, R39",,
1k,0603,C112433,23,100,100,100,77,Yes,"R10, R11, R40, R41, R6, R7, R8, R9","R10, R11, R3, R8, R9","R10, R11, R3, R8, R9"
1nF,0603,C1588,1,50,50,50,49,Yes,C24,,
1nF/2kV,1206,C23631,1,50,50,50,49,Yes,C78,,
1uF,0603,C106858,13,50,50,50,37,Yes,"C14, C16, C90","C16, C17, C18, C21","C16, C17, C18"
2.2k,0603,C7336403,1,100,100,100,99,Yes,R24,,
2.7nF,0603,C1609,1,100,100,100,99,Yes,C45,,
20k,0603,C4333405,5,100,100,100,95,Yes,"R46, R47, R48, R49, R50",,
22R,0603,C103434,16,100,100,100,84,Yes,,"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26",R6
220pF,0603,C388907,2,50,50,50,48,Yes,"C5, C6",,
22R,0402,C2929994,2,100,100,100,98,Yes,"R60, R61",,
22nF,0603,C21122,2,50,50,50,48,Yes,"C72, C79",,
22uF,0805,C162295,8,10,10,10,2,Yes,"C42, C94, C43, C48, C49, C50, C57, C58",,
22uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,C72505,2,20,20,20,18,Yes,"C86, C91",,
25MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13740,1,5,5,5,4,Yes,Y1,,
3.3uH,IND-SMD_L11.5-W10.0_SMMS1040,C149592,1,5,5,5,4,Yes,L2,,
30.1k,0603,C403145,1,100,100,100,99,Yes,R21,,
30.9k,0603,C2930090,1,100,100,100,99,Yes,R19,,
300R,0603,C114617,2,100,100,100,98,Yes,"R36, R37",,
330R,0603,C859100,2,100,100,100,98,Yes,"R14, R15",,
33k,0603,C881242,1,100,100,100,99,Yes,R51,,
33pF,0603,C1663,7,100,100,100,93,Yes,C46,"C2, C3","C2, C3"
4.7k,0603,C2904521,2,20,20,20,18,Yes,"R12, R13",,
4.7uF,0603,C19666,2,10,10,10,8,Yes,"C32, C77",,
4.7uH,IND-SMD_L5.0-W5.0,C354606,2,10,10,10,8,Yes,"L3, L4",,
47k,0603,C2907042,1,100,100,100,99,Yes,R5,,
47nF,0603,C1622,2,100,100,100,98,Yes,"C30, C31",,
49.9R,0603,C23185,4,100,100,100,96,Yes,"R31, R32, R34, R35",,
5.11k,0603,C23067,2,100,100,100,98,Yes,"R2, R3",,
5.24k,0603,C23068,1,100,100,100,99,Yes,R22,,
52.3k,0603,C23198,1,100,100,100,99,Yes,R27,,
6.04k,0603,C25977,1,100,100,100,99,Yes,R17,,
6.8k,0603,C103776,2,100,100,100,98,Yes,"R42, R43",,
6.8nF,0603,C107097,2,100,100,100,98,Yes,"C73, C74",,
68.1k,0603,C861521,1,20,20,20,19,Yes,R20,,
74AHCT244,SSOP-20_4.4x6.5mm_P0.65mm,C2868870,2,1,1,2,0,No,,"U4, U5",
AO3400A,SOT-23,C20917,2,5,5,5,3,Yes,,,Q1
AP2112K-3.3,SOT-23-5,C51118,3,5,5,5,2,Yes,,U3,U3
AP63203WU,TSOT-23-6,C780769,1,1,1,1,0,No,U14,,
AP63205WU,TSOT-23-6,C2071056,1,1,1,1,0,No,U12,,
AP64501SP-13,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,C2071517,1,1,1,1,0,No,U11,,
BAT,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394,1,10,10,10,9,Yes,J12,,
BQ25792,Texas_RQM0029A_VQFN-29_4x4mm_P0.4mm,C2862876,1,1,1,1,0,No,U9,,
CBW160808U601T,0603,C139183,1,50,50,50,49,Yes,FB3,,
CH221K,SOT-23-6,C5125736,1,5,5,5,4,Yes,U8,,
CSD17577Q3A,VSON-8_3.3x3.3mm_P0.65mm_NexFET,C201632,2,1,1,2,0,No,"Q1, Q2",,
Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395,8,10,10,10,2,Yes,"J11, J2, J4, J5, J6",J2,J2
Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991,1,5,5,5,4,Yes,J13,,
Conn_01x08,PinHeader_2x04_P2.54mm_Vertical,C5383105,5,20,20,20,15,Yes,,J3,"J3, J4"
Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,C30734,1,5,5,5,4,Yes,,J5,
ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,C2913199,1,1,1,1,0,No,U1,,
FerriteBead,0603,C88989,2,20,20,20,18,Yes,"FB1, FB2",,
ICS-43434,InvenSense_ICS-43434-6_3.5x2.65mm,C5656610,1,1,1,1,0,No,MK1,,
MAX17049G+T10,WSON-8_L2.0-W2.0-P0.50-BL-EP0.9,C18185545,1,,,,,,U10,,
MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,C910544,1,1,1,1,0,No,U4,,
Motor,CONN-TH_4P-P2.54_MX128-2.54-GN01-04P-CU-Y-A,C5188444,1,5,5,5,4,Yes,J9,,
R5460N214AF-TR-FE,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C259719,1,5,5,5,4,Yes,U7,,
RED_LED,0603,C19171390,19,100,100,100,81,Yes,"D1, D10, D11, D2, D3, D4, D6, D7, D8, D9","D1, D2, D3","D1, D2, D3"
RJ45_Hanrun_HR911105A_Horizontal,RJ45_Hanrun_HR911105A_Horizontal,C12074,1,1,1,1,0,No,J3,,
RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,3,1,1,3,0,No,,U1,U1
SMBJ15A,SMB_L4.6-W3.6-LS5.3-RD,C83846,1,5,5,5,4,Yes,D5,,
SW_Push,SW_SPST_TS-1088-xR025,C720477,8,10,10,10,2,Yes,"BOOT1, EN1","BOOT1, RUN1","BOOT1, RUN1"
Speaker,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,C158012,1,20,20,20,19,Yes,LS1,,
TMC2209-LA,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,C2150710,1,1,1,1,0,No,U2,,
TPD2E2U06DCK,SOT-323_SC-70,C1855726,1,5,5,5,4,Yes,U5,,
TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1,20,20,20,19,Yes,USB1,,
W25Q128JVSIQ,SOIC-8_5.3x5.3mm_P1.27mm,C97521,3,1,1,3,0,No,,U2,U2
W5500,LQFP-48_7x7mm_P0.5mm,C32843,1,1,1,1,0,No,U3,,
