LCSC Part #,Status,Detail,HTTP,Title,URL
C103434,in_stock,In Stock,200,RTT0322R0FTP | RALEC | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C103434.html
C103776,in_stock,In Stock,200,RTT036801FTP | RALEC | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C103776.html
C106858,in_stock,In Stock,200,CC0603KRX7R8BB105 | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C106858.html
C107097,in_stock,In Stock,200,CC0603KRX7R9BB682 | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C107097.html
C112433,in_stock,In Stock,200,WR06X1001FTL | Walsin | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C112433.html
C114617,in_stock,In Stock,200,RC0603FR-07300RL | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C114617.html
C12074,in_stock,In Stock,200,HR911105A | HANRUN(Zhongshan HanRun Elec) | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C12074.html
C13740,in_stock,In Stock,200,X322525MSB4SI | YXC Crystal Oscillators | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C13740.html
C139183,in_stock,In Stock,200,CBW160808U601T | FH | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C139183.html
C144394,in_stock,In Stock,200,B3B-XH-A(LF)(SN) | JST | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C144394.html
C144395,in_stock,In Stock,200,B4B-XH-A(LF)(SN) | JST | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C144395.html
C149592,in_stock,In Stock,200,SMMS1040-3R3M | Shun Xiang Nuo | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C149592.html
C157991,in_stock,In Stock,200,B5B-XH-A(LF)(SN) | JST | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C157991.html
C158012,in_stock,In Stock,200,B2B-XH-A(LF)(SN) | JST | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C158012.html
C1588,in_stock,In Stock,200,CL10B102KB8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C1588.html
C1609,in_stock,In Stock,200,0603B272K500NT | FH | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C1609.html
C1622,in_stock,In Stock,200,CL10B473KB8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C1622.html
C162295,in_stock,In Stock,200,GRM219R61C226ME15L | muRata | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C162295.html
C163869,in_stock,In Stock,200,WR06X1004FTL | Walsin | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C163869.html
C1644,in_stock,In Stock,200,CL10C150JB8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C1644.html
C1663,in_stock,In Stock,200,CL10C330JB8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C1663.html
C18185545,out_of_stock,Out of Stock,200,MAX17049G+T10 | MAXIM | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C18185545.html
C1855726,in_stock,In Stock,200,TPD2E2U06DCKR | TI | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C1855726.html
C19171390,in_stock,In Stock,200,YLED0603R | YONGYUTAI | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C19171390.html
C194427,in_stock,In Stock,200,GRM188R6YA106MA73D | muRata | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C194427.html
C19666,in_stock,In Stock,200,CL10A475KO8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C19666.html
C201632,in_stock,In Stock,200,CSD17577Q3A | TI | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C201632.html
C2040,in_stock,In Stock,200,RP2040 | Raspberry Pi | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2040.html
C2071056,in_stock,In Stock,200,AP63205WU-7 | DIODES | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2071056.html
C2071517,out_of_stock,Out of Stock,200,AP64501SP-13 | DIODES | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2071517.html
C20917,in_stock,In Stock,200,AO3400A | AOS | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C20917.html
C21122,in_stock,In Stock,200,CL10B223KB8NNNC | Samsung Electro-Mechanics | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C21122.html
C2150710,in_stock,In Stock,200,TMC2209-LA-T | TRINAMIC | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2150710.html
C22461454,in_stock,In Stock,200,VGF39NCHXT-B103 | HDK | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C22461454.html
C23067,in_stock,In Stock,200,0603WAF5111T5E | UNI-ROYAL | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C23067.html
C23068,in_stock,In Stock,200,0603WAF5231T5E | UNI-ROYAL | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C23068.html
C23185,in_stock,In Stock,200,0603WAF499JT5E | UNI-ROYAL | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C23185.html
C23198,in_stock,In Stock,200,0603WAF5232T5E | UNI-ROYAL | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C23198.html
C23631,in_stock,In Stock,200,CC1206KKX7RDBB102 | YAGEO | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C23631.html
C2482548,in_stock,In Stock,200,RMCF0603FT12K4 | SEI(Stackpole Electronics Inc.) | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C2482548.html
C259719,in_stock,In Stock,200,R5460N214AF-TR-FE | Nisshinbo Micro Devices Inc. | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C259719.html
C25977,in_stock,In Stock,200,0603WAF6041T5E | UNI-ROYAL | Price | In Stock | LCSC Electronics,https://www.lcsc.com/product-detail/C25977.html
