Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RUN1",SW_SPST_TS-1088-xR025,2,SW_Push,C720477
"C1, C10, C11, C12, C13, C14, C15, C19, C20, C8, C9",0603,11,0.1uF,
"C16, C17, C18, C21",0603,4,1uF,
"C2, C3",0603,2,33pF,
"C22, C4, C5, C6, C7",0805,5,10uF,
"D1, D2, D3",0603,3,RED_LED,C19171390
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,C474881
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,C144395
J3,PinHeader_2x04_P2.54mm_Vertical,1,Conn_01x08,C5383105
J5,PinSocket_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C30734
"R10, R11, R3, R8, R9",0603,5,1k,
"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26",0603,14,22R,
"R2, R4, R5",0603,3,10k,
R7,0603,1,100R,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-23-5,1,AP2112K-3.3,
"U4, U5",SSOP-20_4.4x6.5mm_P0.65mm,2,74AHCT244,
U6,CONN-TH_P5.00_KF301-5.0-2P,1,KF301-5.0-2P,C474881
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
