Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,26.2,-94.0,90.0,top
C1,29.1125,-114.8,180.0,top
C10,26.9125,-105.4,0.0,top
C11,26.9125,-110.2,0.0,top
C12,30.95,-113.0,0.0,top
C13,38.5125,-108.2,270.0,top
C14,32.1125,-102.1,0.0,top
C15,34.9125,-113.0,180.0,top
C16,41.3125,-104.4,270.0,top
C17,59.875,-106.88,0.0,top
C18,35.7125,-102.1,180.0,top
C19,59.875,-108.5,0.0,top
C2,32.7125,-116.0,0.0,top
C20,59.875,-125.325,180.0,top
C21,59.875,-126.925,180.0,top
C22,59.875,-128.725,180.0,top
C3,32.7125,-121.2,180.0,top
C4,54.9,-91.8,0.0,top
C5,46.6,-97.6,90.0,top
C6,53.4,-96.8,90.0,top
C7,59.9,-104.88,0.0,top
C8,35.7125,-100.5,180.0,top
C9,32.1125,-100.5,0.0,top
D1,26.9125,-107.0,0.0,top
D2,54.935,-93.985,180.0,top
D3,50.5625,-101.8,0.0,top
J1,36.1,-87.2,180.0,top
J2,50.45,-87.6,180.0,top
J3,66.13,-88.07,180.0,top
J5,45.72,-116.84,0.0,bottom
JP1,60.4,-97.4,0.0,top
R10,60.1,-91.4,90.0,top
R11,47.2,-101.8,0.0,top
R13,65.9,-112.1,180.0,top
R14,65.9,-110.3,180.0,top
R15,65.9,-113.9,180.0,top
R16,65.9,-115.7,180.0,top
R17,53.9,-110.37,0.0,top
R18,53.9,-112.1,0.0,top
R19,53.9,-113.9,0.0,top
R2,27.0,-99.2,270.0,top
R20,53.93,-115.7,0.0,top
R21,53.875,-123.525,0.0,top
R22,53.875,-121.725,0.0,top
R23,53.875,-119.925,0.0,top
R24,53.85,-118.125,0.0,top
R25,65.875,-123.635,180.0,top
R26,65.875,-121.925,180.0,top
R3,25.2,-99.2,270.0,top
R4,36.3125,-114.6,180.0,top
R5,45.0,-128.8,0.0,top
R7,60.425,-99.8,180.0,top
R8,26.9125,-108.6,180.0,top
R9,58.3,-91.445,270.0,top
RUN1,37.9,-122.1,0.0,top
U1,33.1625,-108.0,90.0,top
U2,33.25,-95.9,270.0,top
U3,50.0625,-95.55,0.0,top
U4,59.875,-112.925,270.0,top
U5,59.875,-120.925,90.0,top
Y1,32.7125,-118.6,180.0,top
